country,iso_code,region,gdp_per_capita_current_1960,gdp_per_capita_current_1961,gdp_per_capita_current_1962,gdp_per_capita_current_1963,gdp_per_capita_current_1964,gdp_per_capita_current_1965,gdp_per_capita_current_1966,gdp_per_capita_current_1967,gdp_per_capita_current_1968,gdp_per_capita_current_1969,gdp_per_capita_current_1970,gdp_per_capita_current_1971,gdp_per_capita_current_1972,gdp_per_capita_current_1973,gdp_per_capita_current_1974,gdp_per_capita_current_1975,gdp_per_capita_current_1976,gdp_per_capita_current_1977,gdp_per_capita_current_1978,gdp_per_capita_current_1979,gdp_per_capita_current_1980,gdp_per_capita_current_1981,gdp_per_capita_current_1982,gdp_per_capita_current_1983,gdp_per_capita_current_1984,gdp_per_capita_current_1985,gdp_per_capita_current_1986,gdp_per_capita_current_1987,gdp_per_capita_current_1988,gdp_per_capita_current_1989,gdp_per_capita_current_1990,gdp_per_capita_current_1991,gdp_per_capita_current_1992,gdp_per_capita_current_1993,gdp_per_capita_current_1994,gdp_per_capita_current_1995,gdp_per_capita_current_1996,gdp_per_capita_current_1997,gdp_per_capita_current_1998,gdp_per_capita_current_1999,gdp_per_capita_current_2000,gdp_per_capita_current_2001,gdp_per_capita_current_2002,gdp_per_capita_current_2003,gdp_per_capita_current_2004,gdp_per_capita_current_2005,gdp_per_capita_current_2006,gdp_per_capita_current_2007,gdp_per_capita_current_2008,gdp_per_capita_current_2009,gdp_per_capita_current_2010,gdp_per_capita_current_2011,gdp_per_capita_current_2012,gdp_per_capita_current_2013,gdp_per_capita_current_2014,gdp_per_capita_current_2015,gdp_per_capita_current_2016,gdp_per_capita_current_2017,gdp_per_capita_current_2018,gdp_per_capita_current_2019,gdp_per_capita_current_2020,gdp_per_capita_current_2021,life_expectancy_1960,life_expectancy_1961,life_expectancy_1962,life_expectancy_1963,life_expectancy_1964,life_expectancy_1965,life_expectancy_1966,life_expectancy_1967,life_expectancy_1968,life_expectancy_1969,life_expectancy_1970,life_expectancy_1971,life_expectancy_1972,life_expectancy_1973,life_expectancy_1974,life_expectancy_1975,life_expectancy_1976,life_expectancy_1977,life_expectancy_1978,life_expectancy_1979,life_expectancy_1980,life_expectancy_1981,life_expectancy_1982,life_expectancy_1983,life_expectancy_1984,life_expectancy_1985,life_expectancy_1986,life_expectancy_1987,life_expectancy_1988,life_expectancy_1989,life_expectancy_1990,life_expectancy_1991,life_expectancy_1992,life_expectancy_1993,life_expectancy_1994,life_expectancy_1995,life_expectancy_1996,life_expectancy_1997,life_expectancy_1998,life_expectancy_1999,life_expectancy_2000,life_expectancy_2001,life_expectancy_2002,life_expectancy_2003,life_expectancy_2004,life_expectancy_2005,life_expectancy_2006,life_expectancy_2007,life_expectancy_2008,life_expectancy_2009,life_expectancy_2010,life_expectancy_2011,life_expectancy_2012,life_expectancy_2013,life_expectancy_2014,life_expectancy_2015,life_expectancy_2016,life_expectancy_2017,life_expectancy_2018,life_expectancy_2019,life_expectancy_2020,life_expectancy_2021,population_1960,population_1961,population_1962,population_1963,population_1964,population_1965,population_1966,population_1967,population_1968,population_1969,population_1970,population_1971,population_1972,population_1973,population_1974,population_1975,population_1976,population_1977,population_1978,population_1979,population_1980,population_1981,population_1982,population_1983,population_1984,population_1985,population_1986,population_1987,population_1988,population_1989,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021
Afghanistan,AFG,South Asia,62.3693745,62.4437035,60.9503638,82.0217376,85.5110734,105.243196,143.103233,167.165675,134.012768,134.25036,162.642175,166.224831,141.365322,149.744069,181.598776,194.669036,205.674097,232.778699,255.045622,284.755532,291.649791,311.853617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.174037,199.643228,221.830531,254.115274,274.015394,376.318296,382.533804,453.387382,562.499219,608.738856,653.417479,638.733185,626.512931,566.881133,523.053012,526.140801,492.090632,497.741429,512.055098,355.777826,32.535,33.068,33.547,34.016,34.494,34.953,35.453,35.924,36.418,36.91,37.418,37.923,38.444,39.003,39.55,40.1,40.645,41.228,40.271,39.086,39.618,40.164,37.766,38.187,33.329,33.55,39.396,39.844,43.958,45.158,45.967,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462
Albania,ALB,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.48473,639.865904,693.873475,674.793383,652.774321,697.995597,617.230436,336.586995,200.85222,367.279225,586.416135,750.604449,1009.97711,717.380048,813.789397,1033.24253,1126.68334,1281.65983,1425.12422,1846.12012,2373.58129,2673.78782,2972.74362,3595.0383,4370.53972,4114.13403,4094.34969,4437.14116,4247.63134,4413.06338,4578.63321,3952.80357,4124.05539,4531.03221,5287.6608,5396.21424,5343.0377,6377.2031,54.439,55.634,56.671,57.844,58.983,60.019,60.998,61.972,62.946,63.923,64.824,65.618,66.422,67.14,67.769,68.328,68.704,69.121,69.309,69.584,70.478,70.73,71.023,71.296,71.502,71.656,71.95,72.352,72.641,72.88,73.144,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Algeria,DZA,Middle East & North Africa,239.033006,209.917178,169.927013,225.823391,238.877805,253.309059,241.002572,261.366234,292.028984,315.562094,352.53384,359.821799,468.619256,588.907258,871.731462,989.393163,1074.40525,1223.99199,1495.2091,1829.89716,2259.72437,2291.7561,2260.34752,2359.59326,2510.03683,2617.72545,2783.43102,2829.87927,2437.37792,2235.26812,2431.55136,1749.28609,1794.62351,1825.8751,1522.8252,1466.54468,1619.53241,1634.46741,1610.30298,1602.86492,1780.37606,1754.58236,1794.81111,2117.04823,2624.79523,3131.32819,3500.13459,3971.80349,4946.56402,3898.47879,4495.92148,5473.28183,5610.73328,5519.77758,5516.22944,4197.41999,3967.20065,4134.93609,4171.79039,4021.98327,3354.15316,3700.3147,40.532,40.516,39.323,42.908,42.788,42.714,42.543,42.568,42.642,42.781,43.16,43.67,44.346,45.079,46.034,46.972,47.985,49.191,50.353,51.755,53.261,55.276,57.428,59.51,61.658,63.588,65.159,65.83,66.971,67.085,67.416,67.688,67.757,67.719,67.361,67.454,68.749,69.171,69.451,70.032,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,11394307,11598608,11778260,11969451,12179099,12381256,12613389,12897115,13190975,13491016,13795915,14110271,14439748,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969
American Samoa,ASM,East Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8800.72881,9043.68237,8832.81852,8733.01429,8673.9272,9187.16634,10019.5023,12191.5977,10446.8632,10495.3047,11920.0611,12038.8716,12313.9974,13101.5418,13300.8246,12372.8848,13195.9359,13672.5767,15609.7772,16653.7138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20085,20626,21272,21949,22656,23391,24122,24848,25608,26396,27075,27593,28063,28529,29012,29573,30198,30816,31428,32045,32886,34059,35367,36735,38168,39663,41221,42842,44532,46288,47818,48992,50078,51174,52288,53401,54500,55578,56603,57594,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035
Andorra,AND,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3958.59573,4193.16237,4967.34396,6183.80844,7174.44456,7963.55182,7758.71683,8206.98237,9456.01588,12054.0316,12534.8285,10516.7563,9739.22855,8108.67735,7825.16016,7914.87399,10568.9291,12832.9994,14529.0599,15404.8216,19208.6784,19967.7339,21123.0561,17024.3132,16670.9384,18731.6502,19081.5492,18253.0777,18592.2436,18884.177,21620.4651,22809.0878,24784.9561,31954.1618,37630.7643,39583.9312,43084.2837,50562.8266,53721.3885,49750.7186,48237.8905,51428.1897,44902.3877,44747.7612,45680.5469,38885.5486,39931.2363,40632.209,42904.8116,41328.6124,37207.2389,42072.3194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9443,10216,11014,11839,12690,13563,14546,15745,17079,18449,19860,21322,22832,24393,26003,27640,29294,30949,32574,34142,35611,36987,38598,40432,42181,43809,45605,47635,49654,51639,53569,55434,57283,59156,61037,62928,64147,64682,65186,65655,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034
Angola,AGO,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712.369763,643.439974,620.736572,623.909304,637.903551,758.088489,684.901344,756.427545,793.391428,892.340076,949.921356,850.55618,657.65464,466.679163,329.691784,398.120223,454.375004,516.127849,423.403332,387.689415,556.884244,527.464118,872.657638,982.80559,1254.69613,1900.72382,2597.96359,3121.34874,4081.7175,3123.6989,3586.66368,4608.15517,5083.82685,5061.34924,5011.98441,3217.33924,1809.70938,2439.37444,2540.50888,2191.34776,1450.90511,1927.47408,38.211,37.267,37.539,37.824,38.131,38.495,38.757,39.092,39.484,39.829,40.19,40.554,40.905,41.27,41.652,41.191,41.163,41.437,41.83,42.175,42.449,42.772,43.051,42.092,42.353,42.648,42.843,40.917,41.545,41.765,41.893,43.813,42.209,42.101,43.422,45.849,46.033,46.306,45.057,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,5357195,5441333,5521400,5599827,5673199,5736582,5787044,5827503,5868203,5928386,6029700,6177049,6364731,6578230,6802494,7032713,7266780,7511895,7771590,8043218,8330047,8631457,8947152,9276707,9617702,9970621,10332574,10694057,11060261,11439498,11828638,12228691,12632507,13038270,13462031,13912253,14383350,14871146,15366864,15870753,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774
Antigua and Barbuda,ATG,Latin America & Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208.67716,1366.09214,1688.30935,2025.47468,2271.83193,2519.80314,2784.73723,3187.98149,3703.78682,4488.19602,5239.45833,6230.46682,6895.38608,7255.4063,7569.969,7721.76312,8129.14412,8788.01332,8440.03453,9079.48121,9556.8328,10029.4778,10379.1604,11010.1975,10502.9388,10549.6662,10968.8927,11650.8485,12808.0102,14310.6862,16006.1361,16457.1041,14530.5987,13404.516,14774.0322,15136.8411,14977.0718,15451.4952,15985.5411,16449.0592,16803.8702,18133.8226,18730.0048,15224.8586,17178.5437,61.55,62.363,63.192,64.101,65.058,66.026,66.956,67.859,68.671,69.535,70.058,70.683,71.016,71.349,71.747,71.977,72.359,72.546,72.871,73.035,73.183,73.338,73.458,73.471,73.524,73.566,73.556,73.554,73.53,73.416,73.492,73.435,73.417,73.482,73.591,73.636,73.829,73.96,74.041,74.347,74.606,75.078,75.536,75.478,75.672,75.825,75.765,76.131,76.41,76.669,76.82,77.104,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,78.497,55342,56245,57008,57778,58664,59644,60615,61617,62658,63742,64517,64769,64695,64463,64218,64035,63990,64117,64329,64609,64889,65076,65231,65408,65362,65048,64712,64353,63982,63636,63328,63634,64659,65834,67072,68398,69798,71218,72572,73821,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219
Argentina,ARG,Latin America & Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3727.04801,3787.47068,2919.28351,3454.29633,3492.69147,4005.20126,2382.33586,4330.96819,5730.72381,6815.32933,6957.4175,7464.47474,7383.70451,7690.157,8176.7712,8250.67317,7735.32208,7666.51783,7168.97587,2579.48877,3333.1529,4258.16026,5086.62776,5890.978,7210.59555,8977.50685,8184.38989,10385.9644,12848.7392,13082.6643,13080.2547,12334.7983,13789.0604,12790.2641,14613.0357,11795.1628,9963.67416,8500.83794,10650.8605,63.978,64.36,64.244,64.449,64.363,64.593,64.891,64.992,64.89,64.859,65.589,65.541,65.923,66.323,66.563,67.081,67.228,67.861,68.197,68.491,68.564,68.976,68.937,69.267,69.195,69.651,70.119,70.564,71.052,71.425,71.784,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,20349744,20680653,21020359,21364017,21708487,22053661,22403116,22757014,23112971,23472028,23842803,24223379,24612794,25020588,25449754,25875558,26290257,26713780,27146121,27584134,28024803,28471285,28922762,29377137,29832197,30287112,30748326,31216453,31690792,32165766,32637657,33105763,33568285,34027240,34488696,34946110,35389362,35815971,36233195,36653031,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
Armenia,ARM,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634.567328,572.161763,356.082213,347.466463,389.825287,441.894002,484.091641,501.156515,584.384267,575.628479,603.298025,676.150011,765.316178,910.171262,1166.6382,1608.16341,2109.52638,3064.27996,3908.94906,2917.36624,3143.02948,3462.68178,3643.7154,3833.15707,4017.22991,3666.14182,3679.95235,4041.99507,4391.92327,4828.50489,4505.86774,4972.7832,61.431,61.803,62.125,62.223,62.418,62.754,62.945,63.213,63.334,63.656,63.873,64.208,64.535,64.611,64.825,64.962,65.161,65.364,65.701,66.041,66.177,66.579,66.89,67.195,67.507,67.93,68.18,68.095,53.9,68.703,68.821,68.643,68.627,68.841,69.073,69.311,69.783,69.91,70.514,70.257,70.624,70.932,71.018,71.436,71.421,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,1904148,1971530,2039346,2106142,2171029,2234051,2295496,2355997,2416461,2476359,2534377,2590923,2648048,2706852,2767646,2830798,2896311,2965523,3038224,3097058,3135123,3167876,3202011,3238291,3272102,3300896,3327182,3351364,3366838,3448186,3556539,3617631,3574555,3457349,3373713,3322782,3298898,3271418,3240550,3206030,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974
Aruba,ABW,Latin America & Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6283.00144,7567.25364,9274.51416,10767.3962,11638.7337,12850.2157,13657.6706,14970.1523,16675.2785,17140.4334,17375.2253,18713.4254,19742.3167,19833.8268,21026.1671,20911.1928,21375.2691,22050.5899,24105.5241,24978.2217,25832.9256,27665.2995,29011.6391,25740.7702,24452.5887,26043.1563,25611.1758,26514.869,26940.2641,28419.2645,28449.713,29329.0818,30918.4836,31902.8098,24008.1278,29127.7594,64.152,64.537,64.752,65.132,65.294,65.502,66.063,66.439,66.757,67.168,67.583,67.975,68.577,69.092,69.503,69.762,70.035,70.264,70.494,70.778,71.066,71.722,71.959,72.105,72.251,72.388,72.462,72.789,73.047,73.023,73.076,73.1,73.179,73.225,73.272,73.349,73.448,73.452,73.491,73.561,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,54608,55811,56682,57475,58178,58782,59291,59522,59471,59330,59106,58816,58855,59365,60028,60715,61193,61465,61738,62006,62267,62614,63116,63683,64174,64478,64553,64450,64332,64596,65712,67864,70192,72360,74710,77050,79417,81858,84355,86867,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537
